FID,pointid,b1_S2,b2_S2,b3_S2,b4_S2,b5_S2,b6_S2,b7_S2,b8_S2,b9_S2,b10_S2,b11_S2,b12_S2,b13_S2,b14_S2,b15_S2,b16_S2,b17_S2,b18_S2,Classname,Classvalue
1684,4102,572,790,1047,1230,1437,1576,2237,1581,1848,208,387,241,671,1983,2411,1276,580,2664,Ephemeral Tree Cover,32
1685,4103,572,766,1017,1203,1403,1527,2216,1558,1826,214,404,232,647,1969,2406,1259,550,2636,Ephemeral Tree Cover,32
1686,4104,473,694,953,1168,1412,1577,2258,1504,1903,216,388,236,635,1982,2447,1238,560,2691,Ephemeral Tree Cover,32
1687,4105,463,661,903,1118,1395,1611,2270,1496,1919,208,390,225,658,1993,2430,1266,561,2670,Ephemeral Tree Cover,32
1688,4106,444,654,1010,1256,1523,1761,2475,1577,2109,216,384,232,665,2024,2481,1196,561,2715,Ephemeral Tree Cover,32
1689,4107,481,694,1035,1270,1551,1730,2352,1511,2089,197,389,226,626,1958,2402,1197,524,2590,Ephemeral Tree Cover,32
1690,4108,545,769,1091,1289,1387,1561,2252,1573,1870,208,375,230,617,1903,2325,1185,518,2548,Ephemeral Tree Cover,32
1691,4109,520,733,1052,1236,1419,1576,2349,1645,1886,199,367,226,611,1932,2364,1191,536,2597,Ephemeral Tree Cover,32
1692,4110,461,664,955,1139,1391,1557,2369,1580,1846,196,370,224,591,1923,2366,1190,523,2578,Ephemeral Tree Cover,32
1693,4111,431,630,927,1153,1363,1562,2371,1586,1919,210,370,223,609,1992,2459,1213,535,2641,Ephemeral Tree Cover,32
1694,4112,454,644,938,1145,1409,1572,2362,1578,1945,216,380,223,642,2055,2506,1243,545,2742,Ephemeral Tree Cover,32
1695,4113,411,598,852,1067,1305,1523,2259,1497,1863,220,390,223,648,2107,2574,1250,557,2862,Ephemeral Tree Cover,32
1696,4114,417,596,916,1084,1286,1470,2388,1593,1811,217,400,222,641,2204,2583,1327,564,2889,Ephemeral Tree Cover,32
1697,4115,471,659,987,1139,1374,1552,2495,1676,1891,203,386,234,664,2086,2522,1281,565,2790,Ephemeral Tree Cover,32
1698,4116,492,725,993,1170,1392,1554,2321,1663,1815,198,386,221,631,2049,2430,1234,538,2718,Ephemeral Tree Cover,32
1699,4117,626,867,1157,1316,1462,1598,2227,1623,1845,207,389,219,651,2046,2429,1229,543,2677,Ephemeral Tree Cover,32
1700,4118,631,883,1190,1343,1465,1614,2230,1630,1857,227,388,232,656,2029,2470,1235,563,2710,Ephemeral Tree Cover,32
1701,4119,587,822,1107,1272,1425,1551,2243,1639,1848,212,386,227,633,2012,2428,1269,556,2656,Ephemeral Tree Cover,32
1702,4120,655,913,1232,1374,1527,1660,2247,1646,1878,204,373,227,650,2003,2426,1253,555,2647,Ephemeral Tree Cover,32
1703,4121,608,815,1101,1292,1523,1698,2288,1610,1989,196,380,222,643,2031,2480,1252,587,2702,Ephemeral Tree Cover,32
1704,4122,447,676,900,1160,1482,1642,2290,1528,1962,210,382,224,666,2076,2507,1269,556,2697,Ephemeral Tree Cover,32
1705,4123,452,631,924,1085,1275,1463,2367,1673,1796,211,380,213,657,2104,2618,1285,577,2829,Ephemeral Tree Cover,32
1706,4124,461,630,925,1087,1244,1393,2543,1787,1735,220,414,251,721,2319,2763,1460,650,2970,Ephemeral Tree Cover,32
1707,4125,457,660,988,1174,1373,1557,2641,1766,1950,208,402,242,704,2177,2757,1358,650,2961,Ephemeral Tree Cover,32
1708,4126,454,683,1039,1244,1444,1651,2478,1647,1985,190,381,228,607,2084,2497,1242,526,2730,Ephemeral Tree Cover,32
1709,4127,536,755,1050,1229,1391,1538,2298,1649,1844,206,390,233,649,2009,2436,1228,555,2650,Ephemeral Tree Cover,32
1710,4128,560,797,1112,1253,1448,1576,2269,1681,1803,206,396,227,657,2032,2514,1236,564,2707,Ephemeral Tree Cover,32
1711,4129,565,812,1090,1251,1412,1554,2252,1662,1838,209,376,229,647,2029,2442,1256,556,2673,Ephemeral Tree Cover,32
1712,4130,611,867,1162,1303,1468,1624,2241,1630,1847,193,388,227,641,2046,2496,1265,560,2729,Ephemeral Tree Cover,32
1713,4131,607,837,1116,1253,1419,1608,2290,1669,1870,205,380,224,637,2035,2428,1272,572,2707,Ephemeral Tree Cover,32
1714,4132,572,802,1081,1201,1409,1593,2382,1705,1872,211,399,240,666,2024,2480,1274,569,2705,Ephemeral Tree Cover,32
1715,2545,169,294,328,534,988,1211,1239,736,1355,213,416,234,712,2602,3071,1439,599,3471,Evergreen Tree Cover,39
1716,2546,156,265,347,567,997,1133,1306,772,1423,211,464,232,800,2926,3727,1642,682,3951,Evergreen Tree Cover,39
1717,2547,121,246,304,517,900,1042,1212,692,1365,193,410,209,696,2651,3334,1556,665,3586,Evergreen Tree Cover,39
1718,2548,96,252,240,459,1153,1355,1071,566,1553,195,390,216,641,2140,2664,1321,571,2922,Evergreen Tree Cover,39
1719,2549,171,304,361,606,1191,1402,1340,767,1673,215,411,251,699,2285,2842,1485,633,3187,Evergreen Tree Cover,39
1720,2550,157,310,342,599,1154,1373,1375,793,1640,257,438,353,737,2158,2699,1550,750,2865,Evergreen Tree Cover,39
1721,2551,114,285,266,551,1194,1504,1208,669,1663,236,433,310,731,2141,2538,1486,668,2815,Evergreen Tree Cover,39
1722,2552,110,273,239,517,1276,1508,1165,612,1729,209,393,239,660,2071,2490,1346,598,2764,Evergreen Tree Cover,39
1723,2553,121,260,285,560,1182,1429,1229,680,1686,209,395,238,678,2122,2724,1371,588,2778,Evergreen Tree Cover,39
1724,2554,121,265,264,551,1118,1311,1159,633,1552,212,407,228,686,2302,2760,1370,594,3005,Evergreen Tree Cover,39
1725,2555,100,250,234,477,1165,1369,1064,553,1587,212,402,224,702,2142,2625,1333,570,2864,Evergreen Tree Cover,39
1726,2556,88,209,210,408,953,1182,989,541,1302,214,430,253,750,2322,2778,1395,629,3043,Evergreen Tree Cover,39
1727,2557,104,201,220,394,975,1118,1018,542,1319,195,367,213,600,2023,2537,1351,591,2825,Evergreen Tree Cover,39
1728,2558,112,-9999,241,474,1153,1282,1119,635,1565,215,378,258,677,1967,2426,1414,626,2681,Evergreen Tree Cover,39
1729,2559,105,251,268,509,1012,1285,1173,682,1454,216,390,280,717,2155,2646,1467,706,2775,Evergreen Tree Cover,39
1730,2560,102,229,244,507,1092,1302,1136,631,1419,208,400,237,686,2264,2676,1473,675,2955,Evergreen Tree Cover,39
1731,2561,91,223,219,465,1204,1364,1060,571,1565,206,401,232,661,2135,2560,1333,595,2803,Evergreen Tree Cover,39
1732,2562,137,288,291,566,1189,1343,1171,656,1637,225,401,232,694,2165,2761,1367,592,2757,Evergreen Tree Cover,39
1733,2563,127,263,309,550,1116,1281,1205,672,1528,214,404,220,739,2520,2998,1419,608,3245,Evergreen Tree Cover,39
1734,2564,92,229,229,468,1113,1352,1092,581,1457,207,401,221,642,2175,2494,1370,568,2711,Evergreen Tree Cover,39
1735,2565,51,184,150,378,1074,1243,923,493,1362,214,374,224,647,2070,2468,1303,570,2757,Evergreen Tree Cover,39
1736,2566,85,199,192,427,1121,1333,1015,531,1509,191,338,207,575,1738,2192,1241,545,2420,Evergreen Tree Cover,39
1737,2567,133,307,320,614,1529,1737,1319,698,1952,233,405,264,687,2082,2473,1319,593,2644,Evergreen Tree Cover,39
1738,2568,76,208,210,439,1050,1333,1038,540,1507,208,378,245,665,2216,2643,1361,586,2905,Evergreen Tree Cover,39
1739,2569,92,248,213,479,1245,1474,1050,559,1691,220,411,261,661,1970,2406,1324,596,2616,Evergreen Tree Cover,39
1740,2570,81,212,203,445,1084,1269,1037,528,1508,204,386,235,669,2137,2573,1332,595,2792,Evergreen Tree Cover,39
1741,2571,114,249,277,473,1053,1277,1117,634,1461,223,427,270,716,2196,2691,1395,634,2900,Evergreen Tree Cover,39
1742,2572,93,223,218,465,1129,1381,1075,575,1615,214,404,252,703,2109,2575,1357,599,2805,Evergreen Tree Cover,39
1743,2573,112,246,241,495,1043,1266,1098,605,1567,216,428,238,703,2212,2760,1344,572,2886,Evergreen Tree Cover,39
1744,2574,112,245,271,470,1069,1283,1137,660,1445,205,404,225,716,2392,2770,1389,588,3194,Evergreen Tree Cover,39
1745,2575,117,260,249,487,1075,1255,1075,584,1560,214,430,235,703,2190,2838,1427,597,2999,Evergreen Tree Cover,39
1746,2576,80,230,179,413,1085,1316,926,476,1532,207,402,231,670,2223,2632,1283,555,2823,Evergreen Tree Cover,39
1747,2577,100,256,217,501,1320,1601,1055,528,1815,226,396,253,636,1890,2330,1254,539,2540,Evergreen Tree Cover,39
1748,2578,155,323,338,638,1448,1767,1350,724,2008,232,434,291,758,2155,2572,1399,629,2770,Evergreen Tree Cover,39
1749,2579,96,217,198,391,1035,1317,972,529,1370,210,404,246,684,2284,2792,1322,571,2914,Evergreen Tree Cover,39
1750,2580,83,204,189,444,1104,1244,985,490,1517,199,367,211,626,2059,2472,1276,536,2805,Evergreen Tree Cover,39
1751,2581,91,287,222,528,1435,1763,1078,549,1892,227,424,258,689,2103,2518,1299,579,2663,Evergreen Tree Cover,39
1752,2582,103,253,231,479,1239,1499,1065,557,1682,227,419,265,718,2181,2471,1356,596,2754,Evergreen Tree Cover,39
1753,2583,66,202,169,400,992,1140,978,481,1392,203,374,229,628,1975,2435,1322,592,2624,Evergreen Tree Cover,39
1754,2584,93,239,227,492,1168,1406,1056,569,1619,213,414,245,697,2011,2450,1326,593,2619,Evergreen Tree Cover,39
1755,2585,88,239,215,488,1182,1370,1079,553,1557,211,398,-9999,689,2125,2460,1340,573,2666,Evergreen Tree Cover,39
1756,2586,114,250,254,491,1243,1438,1076,557,1600,218,403,241,684,2100,2441,1301,556,2682,Evergreen Tree Cover,39
1757,2587,105,252,223,476,1238,1405,1040,559,1491,219,399,243,718,2220,2537,1320,576,2835,Evergreen Tree Cover,39
1758,2588,70,186,190,404,812,913,956,486,1174,209,410,224,676,2283,2782,1387,586,3063,Evergreen Tree Cover,39
1759,2589,88,200,191,382,901,1135,940,493,1312,192,372,202,652,2195,2696,1290,543,2922,Evergreen Tree Cover,39
1760,2590,92,243,203,510,1387,1611,1101,533,1854,212,401,230,659,1986,2416,1243,526,2585,Evergreen Tree Cover,39
1761,2591,140,281,305,586,1354,1638,1306,698,1757,221,439,280,758,2242,2661,1422,644,2814,Evergreen Tree Cover,39
1762,2592,72,195,195,360,902,1019,980,495,1271,205,387,217,658,2179,2684,1327,538,2977,Evergreen Tree Cover,39
1763,2593,85,197,189,391,892,1076,921,486,1325,200,390,219,653,2168,2753,1310,538,2914,Evergreen Tree Cover,39
1764,2594,78,183,180,370,939,1227,898,476,1296,198,377,212,671,2237,2709,1288,554,2826,Evergreen Tree Cover,39
1765,2595,82,220,199,448,1199,1375,1001,475,1627,215,401,232,634,1974,2288,1260,539,2593,Evergreen Tree Cover,39
1766,2596,95,228,198,466,1248,1531,1036,526,1663,222,402,252,693,2096,2550,1298,565,2722,Evergreen Tree Cover,39
1767,2597,101,237,217,454,1082,1293,1049,520,1524,201,416,250,699,2092,2375,1294,561,2722,Evergreen Tree Cover,39
1768,2598,74,197,201,448,1078,1280,1078,535,1477,192,360,219,631,1873,2343,1273,584,2467,Evergreen Tree Cover,39
1769,2599,111,248,229,496,1262,1440,1127,551,1704,215,416,253,691,1976,2352,1298,578,2625,Evergreen Tree Cover,39
1770,2600,64,198,202,448,1076,1358,1093,538,1530,208,392,237,664,1944,2416,1303,550,2535,Evergreen Tree Cover,39
1771,2601,118,280,240,508,1368,1533,1107,551,1770,227,414,250,697,2080,2362,1295,543,2690,Evergreen Tree Cover,39
1772,2602,77,217,197,447,1184,1400,1013,521,1559,216,420,245,710,2113,2598,1323,580,2709,Evergreen Tree Cover,39
1773,2603,64,173,174,414,994,1195,958,463,1435,188,369,219,615,1944,2383,1261,534,2583,Evergreen Tree Cover,39
1774,2604,112,250,220,469,1285,1617,1045,527,1725,227,411,241,678,2097,2547,1260,550,2669,Evergreen Tree Cover,39
1775,2605,121,303,261,585,1499,1801,1271,630,2027,221,422,266,696,2007,2453,1328,568,2593,Evergreen Tree Cover,39
1776,2606,166,341,401,653,1460,1729,1515,833,1973,237,444,307,788,2284,2575,1500,678,2935,Evergreen Tree Cover,39
1777,2607,91,226,206,460,1206,1346,1056,492,1573,217,408,251,664,1955,2298,1297,545,2533,Evergreen Tree Cover,39
1778,2608,102,243,219,465,1167,1403,1046,510,1596,226,377,244,652,1889,2332,1269,552,2523,Evergreen Tree Cover,39
1779,2609,102,289,235,547,1434,1687,1138,535,1901,235,415,259,670,1974,2302,1263,540,2600,Evergreen Tree Cover,39
1780,2610,104,278,222,585,1440,1779,1152,564,1926,243,437,261,705,2094,2461,1308,560,2604,Evergreen Tree Cover,39
1781,2611,91,264,246,551,1401,1652,1177,564,1868,217,408,247,709,2057,2504,1276,552,2637,Evergreen Tree Cover,39
1782,2612,112,291,263,587,1398,1688,1252,603,1928,231,463,262,761,2241,2629,1327,575,2740,Evergreen Tree Cover,39
1783,2613,111,271,261,565,1467,1643,1233,602,1912,232,435,267,709,2139,2469,1374,590,2676,Evergreen Tree Cover,39
1784,2614,125,298,273,575,1381,1669,1246,613,1892,239,437,281,737,1953,2357,1455,661,2571,Evergreen Tree Cover,39
1785,2615,91,266,211,490,1299,1511,1100,530,1736,256,456,316,775,2019,2331,1488,701,2668,Evergreen Tree Cover,39
1786,2616,61,205,170,400,1089,1318,954,467,1493,227,412,264,692,1926,2279,1350,601,2459,Evergreen Tree Cover,39
1787,2617,94,269,212,520,1321,1502,1039,500,1756,225,420,262,653,1921,2251,1295,542,2521,Evergreen Tree Cover,39
1788,2618,97,264,214,505,1401,1586,1094,531,1750,232,427,-9999,705,2073,2469,1303,571,2711,Evergreen Tree Cover,39
1789,2619,122,309,293,609,1367,1637,1379,710,1878,223,444,267,740,2107,2618,1457,634,2762,Evergreen Tree Cover,39
1790,2620,127,273,310,596,1247,1436,1445,780,1697,263,534,301,896,2775,3339,1644,718,3639,Evergreen Tree Cover,39
1791,2621,111,280,231,538,1385,1644,1210,575,1860,242,417,276,706,1986,2342,1372,583,2533,Evergreen Tree Cover,39
1792,2622,102,289,239,573,1547,1737,1254,611,1995,226,402,252,698,2100,2409,1328,565,2720,Evergreen Tree Cover,39
1793,2623,136,304,289,565,1438,1668,1306,627,1997,236,457,273,764,2186,2713,1412,599,2921,Evergreen Tree Cover,39
1794,2624,121,290,242,586,1425,1755,1277,604,2008,220,418,254,726,2149,2579,1325,564,2823,Evergreen Tree Cover,39
1795,2625,121,297,306,617,1457,1702,1354,694,2015,213,408,259,712,2095,2490,1403,617,2734,Evergreen Tree Cover,39
1796,2626,128,287,291,606,1415,1654,1313,671,1959,236,418,292,735,2080,2461,1506,665,2718,Evergreen Tree Cover,39
1797,2627,137,324,337,636,1381,1669,1321,684,1920,278,480,396,853,2071,2466,1626,792,2688,Evergreen Tree Cover,39
1798,2628,88,268,259,535,1269,1488,1193,604,1694,284,473,410,820,1978,2270,1565,746,2544,Evergreen Tree Cover,39
1799,2629,76,227,201,474,1230,1413,1071,506,1595,223,396,264,685,1821,2214,1367,600,2401,Evergreen Tree Cover,39
1800,2630,88,243,219,499,1211,1387,1122,548,1658,232,428,267,714,1946,2303,1353,590,2505,Evergreen Tree Cover,39
1801,2631,79,230,190,458,1094,1388,1092,534,1571,202,409,248,696,1997,2395,1316,583,2604,Evergreen Tree Cover,39
1802,2632,121,274,297,542,1223,1474,1312,713,1684,221,425,245,747,2195,2566,1383,606,2775,Evergreen Tree Cover,39
1803,2633,151,357,332,690,1616,1928,1500,784,2172,235,430,272,714,2125,2528,1377,596,2719,Evergreen Tree Cover,39
1804,2634,133,316,279,636,1560,1750,1406,725,1969,233,425,272,706,2228,2578,1402,594,2805,Evergreen Tree Cover,39
1805,2635,118,293,257,614,1501,1677,1319,654,1934,219,410,257,719,2141,2487,1332,568,2691,Evergreen Tree Cover,39
1806,2636,121,294,289,590,1468,1672,1302,669,1893,250,455,349,775,1936,2274,1437,676,2520,Evergreen Tree Cover,39
1807,2637,102,238,253,514,1259,1487,1243,623,1710,246,442,355,746,1918,2284,1503,697,2508,Evergreen Tree Cover,39
1808,2638,94,243,254,553,1182,1359,1251,659,1721,216,416,246,699,2036,2564,1428,648,2673,Evergreen Tree Cover,39
1809,2639,109,275,286,572,1283,1507,1271,659,1745,215,398,256,722,2098,2473,1452,649,2781,Evergreen Tree Cover,39
1810,2640,82,240,218,534,1245,1474,1174,583,1710,221,438,269,725,2008,2390,1413,628,2559,Evergreen Tree Cover,39
1811,2641,111,279,247,511,1332,1575,1162,578,1665,222,416,260,727,2033,2356,1356,608,2528,Evergreen Tree Cover,39
1812,2642,91,244,225,492,1232,1440,1182,583,1674,223,419,244,690,1962,2340,1338,579,2583,Evergreen Tree Cover,39
1813,2643,89,263,232,513,1246,1492,1185,608,1713,209,412,240,684,2000,2469,1297,552,2654,Evergreen Tree Cover,39
1814,2644,219,397,466,704,1337,1579,1656,950,1912,229,429,254,727,2436,3172,1486,615,3380,Evergreen Tree Cover,39
1815,2645,150,331,323,639,1392,1613,1453,776,1928,222,431,251,698,2322,2866,1401,587,3086,Evergreen Tree Cover,39
1816,2646,122,277,271,590,1363,1671,1302,672,1921,225,408,291,714,2072,2519,1421,615,2690,Evergreen Tree Cover,39
1817,2647,111,277,264,534,1349,1635,1216,605,1770,229,421,272,684,1959,2379,1348,573,2579,Evergreen Tree Cover,39
1818,2648,102,258,-9999,553,1326,1481,1260,637,1840,234,408,246,666,2028,2421,1318,556,2699,Evergreen Tree Cover,39
1819,2649,82,243,240,536,1294,1630,1242,640,1784,218,424,262,719,2091,2521,1434,643,2737,Evergreen Tree Cover,39
1820,2650,102,269,238,542,1280,1573,1200,611,1864,230,422,294,726,1983,2349,1399,617,2598,Evergreen Tree Cover,39
1821,2651,111,289,274,597,1407,1738,1306,652,1995,218,427,271,708,1982,2357,1366,604,2569,Evergreen Tree Cover,39
1822,2652,115,283,304,579,1412,1625,1356,699,1921,223,424,277,721,2055,2486,1393,607,2651,Evergreen Tree Cover,39
1823,2653,148,310,323,630,1392,1619,1474,772,1961,236,432,-9999,683,2192,2653,1367,585,2924,Evergreen Tree Cover,39
1824,2654,120,272,291,593,1347,1675,1379,705,1898,217,398,-9999,701,2098,2484,1341,579,2761,Evergreen Tree Cover,39
1825,2655,107,291,-9999,582,1402,1697,1349,685,2007,223,413,264,718,2038,2491,1366,606,2691,Evergreen Tree Cover,39
1826,2656,126,300,306,601,1478,1846,1377,706,2057,239,438,299,773,2101,2589,1505,686,2673,Evergreen Tree Cover,39
1827,2657,293,457,653,936,1273,1485,2454,1511,1803,206,452,214,831,3249,4103,1644,669,4441,Deciduous Tree Cover,48
1828,2658,342,494,717,999,1343,1550,2615,1605,1899,196,418,219,780,2980,3872,1660,682,4170,Deciduous Tree Cover,48
1829,2659,403,605,859,1178,1522,1767,2988,1864,2241,204,449,234,761,3128,3963,1634,637,4323,Deciduous Tree Cover,48
1830,2660,442,662,943,1247,1607,1793,3186,1963,2333,229,482,256,828,3351,4322,1747,677,4702,Deciduous Tree Cover,48
1831,2661,317,470,621,903,1373,1608,2265,1372,1898,206,439,200,779,3027,3882,1622,635,4062,Deciduous Tree Cover,48
1832,2662,341,503,682,986,1353,1573,2447,1519,1919,217,457,213,769,3137,3797,1549,611,4127,Deciduous Tree Cover,48
1833,2663,373,553,758,1032,1273,1560,2615,1637,1950,215,452,231,811,3072,3892,1558,620,4119,Deciduous Tree Cover,48
1834,2664,382,558,787,1082,1367,1572,2717,1687,1956,225,455,235,761,3011,3784,1573,609,4048,Deciduous Tree Cover,48
1835,2665,424,595,837,1158,1483,1728,2970,1842,2158,231,465,-9999,821,3149,3976,1623,628,4261,Deciduous Tree Cover,48
1836,2666,436,624,889,1218,1551,1760,3138,1954,2227,231,505,249,870,3445,4402,1748,675,4729,Deciduous Tree Cover,48
1837,2667,420,622,869,1190,1493,1785,3056,1925,2250,210,495,234,870,3528,4443,1793,704,4673,Deciduous Tree Cover,48
1838,2668,367,513,741,1046,1411,1609,2739,1709,2003,218,449,216,832,3402,4266,1760,673,4642,Deciduous Tree Cover,48
1839,2669,370,510,715,994,1267,1484,2552,1587,1963,206,450,219,789,3166,3995,1679,643,4291,Deciduous Tree Cover,48
1840,2670,392,553,804,1068,1357,1616,2576,1623,2015,218,468,233,875,3390,4189,1717,663,4422,Deciduous Tree Cover,48
1841,2671,363,547,773,1044,1356,1626,2582,1590,2033,215,476,211,848,3337,4237,1711,677,4468,Deciduous Tree Cover,48
1842,2672,402,564,794,1051,1414,1618,2585,1588,1994,217,480,220,818,3334,4163,1658,638,4514,Deciduous Tree Cover,48
1843,2673,392,568,791,1059,1322,1572,2698,1655,2034,222,497,248,850,3093,4016,1657,643,4282,Deciduous Tree Cover,48
1844,2674,422,587,830,1126,1468,1699,2863,1786,2110,213,476,237,853,3171,4070,1616,625,4340,Deciduous Tree Cover,48
1845,2675,436,634,898,1206,1552,1764,3030,1888,2194,247,508,270,893,3215,4085,1678,643,4388,Deciduous Tree Cover,48
1846,2676,428,602,882,1212,1501,1748,3081,1955,2202,226,500,240,909,3549,4442,1735,662,4673,Deciduous Tree Cover,48
1847,2677,416,602,878,1167,1409,1681,3050,1937,2161,222,495,236,866,3517,4428,1775,690,4754,Deciduous Tree Cover,48
1848,2678,420,583,824,1109,1439,1665,2871,1798,2090,215,454,222,826,3403,4211,1776,671,4676,Deciduous Tree Cover,48
1849,2679,399,589,838,1094,1507,1753,2734,1712,2172,213,470,233,863,3365,4313,1760,666,4629,Deciduous Tree Cover,48
1850,2680,317,513,710,1053,1513,1808,2550,1539,2142,224,490,238,896,3486,4344,1723,657,4607,Deciduous Tree Cover,48
1851,2681,345,529,714,1019,1366,1606,2425,1524,2032,209,467,217,839,3359,4330,1693,657,4575,Deciduous Tree Cover,48
1852,2682,370,536,746,1047,1324,1600,2511,1598,1958,208,513,225,900,3550,4423,1771,676,4714,Deciduous Tree Cover,48
1853,2683,364,520,779,1102,1334,1576,2618,1613,2063,225,499,224,872,3423,4297,1746,674,4511,Deciduous Tree Cover,48
1854,2684,341,486,684,975,1289,1569,2323,1477,1887,217,470,220,840,3532,4284,1708,654,4496,Deciduous Tree Cover,48
1855,2685,344,500,681,976,1342,1576,2365,1447,1925,203,460,223,829,3204,3887,1683,660,4229,Deciduous Tree Cover,48
1856,2686,422,587,821,1100,1428,1659,2746,1735,2032,212,499,219,855,3399,4283,1665,639,4492,Deciduous Tree Cover,48
1857,2687,442,625,896,1205,1469,1730,3016,1885,2174,241,499,266,878,3226,4170,1727,670,4423,Deciduous Tree Cover,48
1858,2688,445,645,909,1201,1487,1775,3053,1923,2187,238,576,269,949,3532,4426,1766,677,4657,Deciduous Tree Cover,48
1859,2689,413,589,867,1148,1463,1687,2989,1880,2111,238,526,229,938,3586,4368,1784,690,4651,Deciduous Tree Cover,48
1860,2690,407,588,830,1080,1402,1640,2840,1788,2052,220,489,239,896,3296,4071,1753,693,4337,Deciduous Tree Cover,48
1861,2691,432,595,874,1107,1435,1675,2832,1787,2153,234,507,-9999,921,3450,4242,1796,710,4456,Deciduous Tree Cover,48
1862,2692,408,609,845,1153,1519,1803,2825,1751,2230,236,540,241,905,3414,4243,1797,700,4490,Deciduous Tree Cover,48
1863,2693,344,536,742,1066,1566,1785,2567,1585,2254,210,487,230,860,3265,4070,1727,665,4330,Deciduous Tree Cover,48
1864,2694,293,456,552,842,1239,1445,2020,1257,1759,211,445,209,775,3175,4005,1728,681,4290,Deciduous Tree Cover,48
1865,2695,369,535,730,1022,1379,1614,2430,1538,2025,213,496,221,825,3292,4037,1657,632,4339,Deciduous Tree Cover,48
1866,2696,399,579,813,1069,1430,1601,2537,1592,1993,204,494,215,857,3377,4154,1724,657,4483,Deciduous Tree Cover,48
1867,2697,403,590,796,1045,1355,1544,2494,1546,2023,215,484,217,897,3351,4354,1737,667,4514,Deciduous Tree Cover,48
1868,2698,278,441,587,890,1319,1614,2170,1336,1903,224,496,231,849,3324,4193,1687,662,4500,Deciduous Tree Cover,48
1869,2699,262,441,587,894,1480,1706,2241,1275,2092,206,472,245,820,3003,3688,1646,642,4070,Deciduous Tree Cover,48
1870,2700,344,508,698,1005,1423,1677,2555,1565,2140,219,475,226,846,3280,4339,1674,642,4565,Deciduous Tree Cover,48
1871,2701,384,571,824,1125,1417,1683,2826,1757,2102,231,491,247,872,3266,4189,1708,668,4484,Deciduous Tree Cover,48
1872,2702,427,595,855,1134,1430,1704,2882,1818,2153,231,529,244,919,3406,4252,1749,683,4594,Deciduous Tree Cover,48
1873,2703,426,595,844,1138,1438,1705,2868,1804,2095,224,476,222,887,3408,4332,1761,696,4550,Deciduous Tree Cover,48
1874,2704,373,585,775,1113,1475,1732,2742,1736,2079,235,544,251,899,3289,4141,1774,707,4420,Deciduous Tree Cover,48
1875,2705,397,560,806,1098,1381,1591,2717,1698,2065,222,513,251,885,3345,4110,1801,706,4418,Deciduous Tree Cover,48
1876,2706,370,529,745,1054,1293,1544,2620,1679,1915,234,481,250,874,3149,3940,1783,715,4217,Deciduous Tree Cover,48
1877,2707,355,544,775,1065,1358,1604,2623,1666,1989,205,466,221,834,3257,4160,1767,686,4493,Deciduous Tree Cover,48
1878,2708,388,573,807,1124,1430,1665,2637,1660,2073,210,511,221,876,3376,4306,1766,695,4612,Deciduous Tree Cover,48
1879,2709,286,418,600,834,1122,1348,2175,1398,1672,193,424,188,848,3117,4152,1721,673,4207,Deciduous Tree Cover,48
1880,2710,259,403,550,820,1097,1276,2036,1300,1636,228,464,222,796,3188,3962,1680,672,4270,Deciduous Tree Cover,48
1881,2711,256,378,490,767,1047,1273,1940,1201,1556,201,427,198,756,3058,3843,1691,691,4194,Deciduous Tree Cover,48
1882,2712,389,532,746,1033,1347,1548,2412,1518,1954,224,489,225,865,3145,3937,1711,664,4160,Deciduous Tree Cover,48
1883,2713,320,512,654,1004,1497,1737,2359,1431,2027,231,493,238,899,3413,4308,1745,678,4546,Deciduous Tree Cover,48
1884,2714,322,509,696,1008,1520,1758,2378,1414,2103,219,504,228,847,3300,3951,1688,661,4309,Deciduous Tree Cover,48
1885,2715,350,527,721,1016,1540,1786,2444,1463,2193,208,486,222,864,3163,3826,1664,640,4123,Deciduous Tree Cover,48
1886,2716,332,528,731,1062,1453,1702,2554,1554,2174,199,465,224,835,3290,4085,1666,636,4367,Deciduous Tree Cover,48
1887,2717,391,577,829,1095,1445,1691,2743,1679,2041,210,459,231,811,3226,3860,1675,652,4257,Deciduous Tree Cover,48
1888,2718,348,532,737,1076,1461,1683,2744,1678,2133,224,460,229,864,3228,4124,1710,663,4430,Deciduous Tree Cover,48
1889,2719,389,555,783,1090,1429,1725,2814,1734,2162,214,468,222,855,3446,4431,1782,694,4665,Deciduous Tree Cover,48
1890,2720,363,552,796,1097,1418,1646,2784,1742,2089,228,467,243,839,3323,4128,1768,691,4478,Deciduous Tree Cover,48
1891,2721,399,573,831,1096,1352,1583,2792,1715,2065,235,499,254,845,3193,4007,1778,694,4312,Deciduous Tree Cover,48
1892,2722,382,529,746,991,1284,1531,2618,1651,1911,233,512,248,896,3287,4060,1778,703,4445,Deciduous Tree Cover,48
1893,2723,373,547,780,1023,1328,1583,2557,1628,1971,208,481,216,870,3370,4218,1758,678,4504,Deciduous Tree Cover,48
1894,2724,374,553,740,1040,1363,1601,2547,1627,1982,217,465,204,854,3571,4460,1739,662,4663,Deciduous Tree Cover,48
1895,2725,318,445,623,841,1136,1318,2137,1354,1672,188,430,199,784,3059,3769,1707,679,4042,Deciduous Tree Cover,48
1896,2726,303,472,638,885,1220,1432,2225,1446,1725,218,489,226,851,3202,3774,1739,721,4031,Deciduous Tree Cover,48
